miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-5047	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-129-1-3p	4	0	1	0	0	5	9	6	0	0	1	0	2	3	0	0
hsa-miR-6856-3p	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2
hsa-miR-4732-3p	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1
hsa-miR-381-5p	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1
hsa-miR-191-3p	56	203	67	151	86	30	42	35	24	203	90	107	39	43	15	246
hsa-miR-138-5p	22	6	26	1	8	153	168	126	20	5	25	45	24	141	4	14
hsa-miR-4771	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0
hsa-miR-922	1	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1
hsa-miR-587	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-660-5p	499	3415	741	3032	824	225	489	483	312	2852	551	1220	361	557	295	3722
hsa-miR-4536-5p	9	1	13	11	9	2	13	12	16	6	16	19	17	9	14	9
hsa-miR-4528	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-374b-5p	2880	2427	1423	1658	5307	724	1317	2050	1278	2866	2025	6203	1341	1946	1797	2620
hsa-miR-362-5p	52	555	204	390	128	44	46	44	52	828	80	232	48	84	52	558
hsa-miR-6748-3p	1	6	1	1	1	1	1	0	0	2	2	7	0	1	1	7
hsa-miR-889-3p	8	9	9	39	24	8	7	4	0	80	21	21	11	0	1	16
hsa-miR-7158-5p	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-3942-3p	1	6	1	4	0	1	1	1	0	1	1	2	1	0	0	4
hsa-miR-3912-3p	42	41	24	25	57	12	36	49	63	32	51	83	43	47	69	43
hsa-miR-5688	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
hsa-miR-466	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-4766-3p	1	2	0	0	1	0	0	0	1	2	1	2	0	0	1	0
hsa-miR-410-3p	1	9	6	5	2	3	0	1	0	10	8	2	6	1	1	0
hsa-miR-15a-3p	2	12	1	16	6	0	3	3	1	12	3	11	3	3	1	9
hsa-miR-421	152	1434	327	1440	418	77	111	111	75	1164	248	478	157	124	85	1610
hsa-miR-3074-3p	9	9	3	12	6	1	2	3	1	11	6	12	1	4	3	15
hsa-miR-6080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6878-3p	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-4325	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0
hsa-miR-3148	1	0	4	1	0	0	0	0	2	0	1	1	1	0	1	3
hsa-miR-8070	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-664a-3p	392	213	143	109	687	419	475	1037	467	94	220	1199	390	1225	517	123
hsa-miR-5007-5p	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-6758-3p	9	30	13	36	2	1	7	4	6	21	6	9	6	7	4	49
hsa-miR-15b-3p	342	1937	272	1714	638	110	287	272	278	1063	314	785	321	264	214	1474
hsa-miR-586	0	1	0	1	0	1	0	2	0	0	0	0	1	1	1	1
hsa-miR-659-5p	46	64	38	68	45	8	30	28	27	50	63	72	40	26	24	72
hsa-miR-29c-5p	151	74	63	49	160	125	282	338	221	106	87	241	75	450	277	92
hsa-miR-892c-3p	0	1	1	0	0	0	0	0	0	0	3	1	0	0	1	1
hsa-miR-3606-3p	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0
hsa-miR-103b	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-6516-3p	16	30	13	36	20	13	27	47	21	32	21	22	14	16	12	37
hsa-miR-4666b	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-33b-5p	2	3	4	4	4	2	1	3	3	1	8	5	1	0	4	1
hsa-miR-4289	3	0	0	3	5	2	3	2	3	4	4	10	3	0	3	5
hsa-miR-107	25	110	52	71	41	7	27	17	11	168	38	78	23	41	12	201
hsa-miR-6766-3p	2	0	0	0	0	2	1	2	0	0	1	1	1	0	0	0
hsa-miR-3658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-664b-3p	25	15	16	7	50	23	49	90	41	8	14	57	22	79	48	8
hsa-miR-136-5p	0	1	0	3	1	0	0	1	0	4	0	1	1	0	0	1
hsa-miR-8053	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-539-5p	2	2	0	1	0	2	0	0	0	5	0	1	0	0	3	0
hsa-miR-9983-3p	835	3	8	11	652	9	58	5	12	8	102	60	21	5	3	73
hsa-miR-153-5p	1	0	4	2	1	2	7	3	5	6	2	7	4	4	8	1
hsa-miR-6886-5p	0	1	0	0	0	2	1	0	2	0	1	2	2	1	0	2
hsa-miR-4422	12	1	4	3	26	3	9	5	2	0	14	35	1	7	0	2
hsa-miR-2681-3p	1	0	0	0	0	0	1	0	2	0	0	2	0	0	1	1
hsa-miR-218-2-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6858-3p	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
hsa-miR-6775-3p	0	3	0	3	1	0	0	0	0	2	1	0	1	0	0	0
hsa-miR-4785	0	1	1	0	0	0	0	2	1	2	0	0	0	1	0	4
hsa-miR-2682-5p	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0
hsa-miR-1321	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-6762-5p	4	4	6	2	7	8	7	10	5	2	13	8	6	9	1	10
hsa-miR-6874-3p	3	5	3	16	3	1	5	4	2	5	3	6	3	2	3	8
hsa-miR-143-5p	1	10	0	9	0	2	1	0	0	19	2	3	1	0	0	11
hsa-miR-4524a-5p	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1
hsa-miR-3619-3p	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-4666a-5p	0	0	0	3	0	0	1	0	0	1	0	0	0	1	2	0
hsa-miR-126-5p	107	74	53	76	43	68	46	11	60	240	102	151	74	28	17	190
hsa-miR-500a-5p	11	65	31	41	35	10	13	30	16	68	21	46	10	27	32	55
hsa-miR-6840-5p	4	1	0	3	1	1	2	2	3	1	1	4	2	0	0	5
hsa-miR-4433b-5p	12	4	9	1	8	9	4	2	1	20	9	12	1	4	0	2
hsa-miR-6814-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3189-5p	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
hsa-miR-6715a-3p	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-4445-3p	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-4783-3p	0	0	2	1	0	1	0	0	0	0	0	1	0	2	0	0
hsa-miR-519e-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-6760-3p	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
hsa-miR-4323	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1250-3p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-490-5p	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
hsa-miR-520f-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5685	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-4758-3p	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4727-5p	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-3157-5p	14	37	10	26	33	7	12	22	13	28	31	27	14	16	12	39
hsa-miR-662	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3943	0	0	0	0	0	0	0	0	1	0	2	0	0	1	2	0
hsa-miR-6849-3p	1	0	2	0	1	0	1	0	0	0	0	1	4	0	0	2
hsa-miR-4776-3p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3667-5p	1	0	4	0	1	4	0	1	1	14	0	0	0	1	1	2
hsa-miR-4749-3p	0	0	0	0	1	0	1	1	0	2	0	1	1	0	0	4
hsa-miR-4707-3p	0	4	0	0	0	0	1	0	0	0	0	2	0	2	0	0
hsa-miR-9899	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
hsa-miR-1247-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
hsa-miR-6816-3p	0	1	0	1	3	0	1	0	0	3	1	2	2	0	0	2
hsa-miR-6771-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-5p	0	0	0	1	1	3	0	2	0	0	1	2	0	3	0	0
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0
hsa-miR-6832-3p	2	0	0	0	0	0	4	1	0	2	0	0	0	1	0	0
hsa-miR-196b-3p	1	2	0	1	2	0	0	2	0	0	0	3	0	1	0	3
hsa-miR-6068	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0
hsa-miR-450a-5p	109	1977	171	1882	124	13	67	25	120	778	55	212	204	39	69	2663
hsa-miR-4296	0	1	0	0	2	1	0	2	0	1	2	2	0	0	0	1
hsa-miR-2116-3p	20	34	13	15	40	29	27	53	0	64	15	43	4	41	0	33
hsa-miR-371a-3p	2	1	4	1	2	0	1	2	1	1	2	0	0	0	0	1
hsa-miR-4485-5p	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0
hsa-miR-4749-5p	2	3	1	2	2	1	4	2	3	0	1	1	1	1	0	2
hsa-miR-3648	1	0	0	1	3	0	2	3	2	1	2	1	0	3	1	1
hsa-miR-4665-3p	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4707-5p	0	20	0	2	0	0	0	1	3	1	1	1	1	2	2	4
hsa-miR-4697-5p	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2
hsa-miR-4767	1	0	2	0	1	3	2	2	0	0	1	6	1	3	0	0
hsa-miR-1292-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6812-3p	0	0	1	1	0	0	0	1	0	3	0	0	1	1	0	0
hsa-miR-4431	5	0	0	0	0	0	1	0	0	0	13	0	0	0	1	1
hsa-miR-552-3p	1	0	0	1	2	2	5	6	3	0	0	1	0	2	0	0
hsa-miR-4453	0	0	1	2	0	0	3	2	0	0	3	1	2	0	0	0
hsa-miR-539-3p	1	2	1	1	1	1	1	0	1	6	2	4	1	0	0	0
hsa-miR-6738-5p	3	1	2	0	1	1	0	2	2	1	0	2	1	1	0	2
hsa-miR-6499-5p	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-3939	2	25	5	18	5	1	0	3	2	18	3	11	7	3	3	27
hsa-miR-4479	2	5	1	2	3	1	1	1	1	6	0	6	2	3	2	6
hsa-miR-4783-5p	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0
hsa-miR-6743-3p	0	0	1	0	1	0	0	0	1	0	0	2	1	1	0	0
hsa-miR-4469	0	0	3	0	0	0	0	2	0	1	2	0	0	0	0	0
hsa-miR-6071	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-6869-3p	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0
hsa-miR-675-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
hsa-miR-137-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-95-3p	1641	301	789	207	1202	506	1596	1912	1325	302	1259	2189	1451	1178	1860	552
hsa-miR-1225-5p	1	0	0	0	1	3	2	0	0	1	0	1	0	0	0	0
hsa-miR-4264	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
hsa-miR-1199-3p	1	1	2	0	3	0	0	0	1	3	8	1	0	0	1	2
hsa-miR-619-3p	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3150b-5p	0	1	2	5	12	2	6	4	0	7	0	0	1	10	0	2
hsa-miR-4724-5p	1	13	6	2	0	2	5	3	1	23	4	5	4	1	1	13
hsa-miR-4788	0	3	1	1	1	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-10396b-5p	2	1	5	1	3	1	0	4	1	0	1	3	1	0	0	2
hsa-miR-579-5p	6	30	6	34	17	3	4	11	4	30	25	14	5	7	4	33
hsa-miR-1277-3p	135	92	54	96	206	32	144	205	99	128	232	281	85	133	99	162
hsa-miR-4778-3p	1	0	1	1	3	0	0	1	0	0	0	0	0	0	0	1
hsa-miR-4772-3p	505	9	20	14	1156	45	45	8	13	48	1180	665	37	20	16	44
hsa-miR-124-5p	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0
hsa-miR-451a	153	85	54	107	574	129	144	560	55	157	215	687	116	322	67	54
hsa-miR-659-3p	2	0	0	0	0	0	0	1	2	1	0	1	0	0	1	2
hsa-miR-3678-3p	3	1	1	1	1	1	1	0	0	0	2	1	0	2	0	2
hsa-miR-12119	0	0	1	1	0	0	1	2	0	1	0	0	0	0	0	2
hsa-miR-200b-3p	1142	1720	334	1480	1429	236	1301	1458	322	1104	1043	2228	259	1570	351	2273
hsa-miR-4522	28	23	14	12	12	11	31	7	15	41	16	23	13	5	7	30
hsa-miR-145-3p	16	150	25	63	7	12	4	3	1	160	13	24	11	3	1	103
hsa-miR-6736-5p	3	1	2	2	1	0	0	3	1	5	0	1	1	0	0	6
hsa-miR-4731-5p	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
hsa-miR-6854-5p	6	50	10	66	4	2	2	1	4	60	5	13	9	1	2	67
hsa-miR-6824-3p	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0
hsa-miR-2682-3p	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-187-3p	0	5	2	20	1	2	0	2	0	10	2	2	2	0	0	11
hsa-miR-8087	1	1	0	1	1	0	0	0	2	0	1	0	0	0	0	0
hsa-miR-578	0	1	1	3	1	0	0	3	1	0	0	0	1	1	1	0
hsa-miR-5088-3p	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1
hsa-miR-1271-5p	407	126	157	101	711	123	304	453	225	168	518	822	204	338	227	191
hsa-miR-635	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	0
hsa-miR-26a-1-3p	1	5	1	1	3	0	0	1	0	1	3	0	0	2	0	1
hsa-miR-196b-5p	211	145	63	110	230	11	33	6	114	186	153	236	106	15	27	172
hsa-miR-4743-3p	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6772-3p	2	0	1	1	5	0	3	0	0	1	4	3	0	0	0	1
hsa-miR-378a-5p	49	370	145	158	83	41	74	79	28	510	79	91	35	71	33	490
hsa-miR-1184	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
hsa-miR-10394-5p	0	5	2	11	3	4	2	0	1	5	1	0	4	2	2	4
hsa-miR-3683	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-516a-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
hsa-miR-188-5p	4	123	15	109	7	5	4	3	7	94	24	24	10	2	2	133
hsa-miR-30c-2-3p	0	2	0	4	0	0	8	2	0	1	0	0	0	3	0	3
hsa-miR-759	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-5008-3p	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
hsa-miR-429	41	114	10	82	56	7	37	34	5	68	46	86	7	63	7	154
hsa-miR-4659a-3p	15	36	15	26	15	16	24	39	10	41	8	27	3	27	8	36
hsa-miR-1264	1	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1
hsa-miR-590-5p	8	14	11	10	6	8	15	14	9	4	4	15	10	17	14	18
hsa-miR-568	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-7162-5p	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-6756-3p	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4290	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-4762-5p	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	0
hsa-miR-8058	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-26a-2-3p	62	41	29	27	63	31	92	120	58	26	38	149	46	82	76	39
hsa-miR-1248	2	33	20	55	107	101	15	333	8	12	20	62	40	112	18	11
hsa-miR-511-5p	3	4	9	18	1	1	0	0	2	32	2	3	4	0	1	24
hsa-miR-502-5p	8	20	11	18	11	2	1	2	6	45	2	16	6	7	5	23
hsa-miR-2117	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-4775	4	77	12	57	5	5	10	4	2	118	2	12	4	8	2	83
hsa-miR-3140-3p	4	48	13	43	19	5	12	13	5	44	7	17	9	10	9	34
hsa-miR-3646	0	0	0	0	0	0	4	1	0	0	0	2	1	1	0	3
hsa-miR-7854-3p	12	5	2	0	1	3	4	0	5	12	6	6	1	4	2	25
hsa-miR-4795-5p	1	0	0	1	0	0	1	0	2	2	0	0	1	0	0	0
hsa-miR-493-3p	6	7	17	18	6	5	3	1	0	40	19	12	15	2	1	16
hsa-miR-4304	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-4782-5p	0	1	0	1	1	0	0	0	0	1	0	2	0	1	0	4
hsa-miR-3668	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0
hsa-miR-7153-5p	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-4663	1	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1
hsa-miR-489-3p	2	3	0	4	0	0	0	5	0	4	0	0	2	0	0	5
hsa-miR-6880-3p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6503-3p	227	7259	1226	6977	492	211	201	61	47	8873	572	622	254	99	6	10201
hsa-miR-298	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1
hsa-miR-9902	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
hsa-miR-3152-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6511b-5p	0	0	1	1	2	0	3	0	2	2	0	2	0	0	0	0
hsa-miR-4633-5p	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-3126-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-5588-5p	2	3	1	2	1	0	4	2	0	6	4	4	0	1	1	3
hsa-miR-4524b-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-1915-5p	0	1	0	0	1	0	3	0	0	0	0	0	1	1	1	1
hsa-miR-4258	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1225-3p	2	0	0	0	0	1	0	1	0	0	2	2	4	0	1	0
hsa-miR-874-5p	0	0	1	0	9	0	0	1	3	2	0	3	3	0	3	0
hsa-miR-4735-5p	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-3173-5p	46	209	120	93	70	37	58	57	58	380	63	117	77	61	49	300
hsa-miR-939-3p	0	0	0	0	1	1	1	3	0	2	1	2	1	0	0	4
hsa-miR-7157-3p	0	1	0	1	0	0	0	0	1	4	2	0	0	0	0	1
hsa-miR-2467-5p	1	1	1	2	0	1	1	1	0	10	2	1	1	1	0	2
hsa-miR-5589-5p	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6846-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-518c-3p	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0
hsa-miR-1343-5p	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-6769b-3p	2	3	5	3	0	0	1	1	11	6	6	6	8	2	5	5
hsa-miR-637	0	0	1	1	0	1	2	2	0	0	0	0	0	0	0	0
hsa-miR-12130	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0
hsa-miR-3186-5p	0	3	0	0	1	0	0	0	0	2	0	0	0	1	0	2
hsa-miR-6823-3p	2	7	0	23	6	0	0	2	0	0	0	5	2	2	0	1
hsa-miR-4728-3p	0	0	0	0	4	1	0	1	0	0	1	1	0	0	0	1
hsa-miR-4502	73	34	65	33	56	52	34	39	94	77	64	59	81	24	37	63
hsa-miR-2277-3p	0	6	0	1	7	2	1	4	2	3	4	8	1	3	0	5
hsa-miR-6876-3p	1	1	0	4	0	1	0	0	0	3	0	0	1	0	0	1
hsa-miR-8062	0	1	0	0	1	0	0	0	2	2	1	0	0	0	0	3
hsa-miR-4723-5p	2	8	6	3	1	2	1	2	2	3	0	1	0	1	2	4
hsa-miR-92a-2-5p	7	9	5	2	21	4	12	20	3	1	10	25	5	12	3	1
hsa-miR-12129	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2
hsa-miR-6766-5p	0	0	0	0	0	0	1	1	2	0	0	2	1	0	0	2
hsa-miR-6783-5p	0	1	0	1	0	0	0	0	0	4	0	2	0	0	0	3
hsa-miR-365b-5p	1	40	5	21	8	5	5	5	3	37	5	2	5	1	1	26
hsa-miR-4262	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6813-5p	5	37	7	14	9	12	6	4	3	23	18	8	7	1	1	35
hsa-miR-3184-5p	0	0	0	2	1	0	0	0	0	0	2	2	0	0	0	1
hsa-miR-302e	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-376a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-34c-5p	71	277	145	262	34	8	35	2	107	210	47	64	250	12	110	191
hsa-miR-591	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-323b-5p	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-196a-5p	66	4	1	5	15	9	27	5	3	3	9	54	7	10	3	10
hsa-miR-3179	6	6	3	6	2	3	2	5	3	8	2	16	4	10	1	12
hsa-miR-101-2-5p	5	5	1	1	5	1	9	1	3	2	0	6	1	4	4	3
hsa-miR-554	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-198	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0
hsa-miR-4653-5p	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-377-5p	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0
hsa-miR-3152-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-615-5p	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0
hsa-miR-6895-3p	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-214-5p	1	0	1	1	2	0	0	0	1	0	0	1	0	0	1	0
hsa-miR-4653-3p	0	2	0	0	0	0	0	0	1	1	1	2	1	0	1	1
hsa-miR-154-3p	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0
hsa-miR-548w	12	35	9	22	9	4	8	9	4	20	14	25	9	8	6	18
hsa-miR-376a-3p	1	2	1	1	0	0	2	0	0	1	0	1	0	0	0	1
hsa-miR-369-3p	7	5	1	16	11	3	4	0	1	18	5	25	1	3	0	10
hsa-miR-6729-3p	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-935	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
hsa-miR-2116-5p	0	2	0	0	2	0	0	1	0	2	0	1	1	2	0	1
hsa-miR-4650-5p	0	1	0	0	1	1	0	4	0	2	0	1	0	1	1	1
hsa-miR-6514-5p	11	143	32	202	24	5	15	14	9	170	18	31	15	8	9	174
hsa-miR-5692b	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
hsa-miR-8078	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1277-5p	54	105	22	109	89	13	67	88	41	120	77	191	42	74	32	135
hsa-miR-7161-3p	0	3	1	4	2	0	0	0	0	1	0	0	0	0	0	1
hsa-miR-1183	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
hsa-miR-944	8	30	12	13	4	17	33	22	17	28	2	16	14	29	11	51
hsa-miR-1281	0	0	0	0	2	1	0	1	0	2	0	0	0	1	0	0
hsa-miR-4711-3p	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-609	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	3
hsa-miR-937-3p	0	12	9	2	6	5	2	3	2	17	12	5	7	1	3	14
hsa-miR-630	0	1	1	0	1	0	2	1	1	0	0	0	0	0	0	2
hsa-miR-216b-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
hsa-miR-4680-3p	1	15	3	14	6	1	1	1	1	12	3	4	1	2	1	11
hsa-miR-4794	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5001-3p	13	29	9	28	29	8	12	23	8	23	9	33	4	12	16	23
hsa-miR-543	21	16	10	29	30	23	8	10	1	60	33	45	26	13	4	20
hsa-miR-6728-3p	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0
hsa-miR-375-3p	4	4	3	1	5	3	9	2	6	3	5	7	10	4	4	1
hsa-miR-4799-5p	0	0	0	0	2	0	0	0	0	0	0	4	0	2	0	1
hsa-miR-629-3p	15	59	23	11	21	43	39	57	21	45	11	60	25	65	25	24
hsa-miR-6892-3p	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0
hsa-miR-4256	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
hsa-miR-518a-5p	0	2	0	4	2	0	0	1	0	7	1	0	1	0	0	1
hsa-miR-215-3p	0	0	0	2	0	0	1	1	0	0	1	0	0	0	1	0
hsa-miR-7974	1	1	3	0	2	0	3	3	1	1	3	1	3	1	0	1
hsa-miR-103a-1-5p	5	3	3	4	5	2	1	3	1	10	0	4	0	3	3	8
hsa-miR-6830-3p	2	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0
hsa-miR-1179	3	1	0	2	12	6	17	24	13	3	3	7	5	21	7	5
hsa-miR-561-5p	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-3674	0	4	1	3	0	0	0	0	0	3	0	1	0	0	0	4
hsa-miR-4763-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-1238-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
hsa-miR-3174	20	187	17	189	26	8	9	3	5	140	19	38	20	7	0	227
hsa-miR-640	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-7849-3p	0	2	1	0	0	0	0	0	0	2	0	0	0	1	0	2
hsa-miR-7153-3p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7703	1	2	2	0	0	1	0	1	0	2	0	0	0	0	1	5
hsa-miR-6799-3p	1	0	0	3	2	0	1	3	0	1	2	1	1	0	0	1
hsa-miR-210-5p	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0
hsa-miR-202-5p	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6894-3p	1	3	9	1	1	5	2	4	1	6	1	2	1	0	1	4
